table,original_column,Content,header,column_text,medium_label,long_label,translated_column,column_for_analysis
VBAK,ABDIS,MRP: Shipment Planning Type,,MRP,MRP:DS Type,MRP: Shipment Planning Type,Mrp,mrp
VBAK,ABHOB,Pick-up time,time,Pick-Up Tm,Pick-Up Time,Pick-up time,Pick-UP TM,pick-up_tm
VBAK,ABHOD,Pickup Date,Pick-Up Day,Pick-Up Day,Pickup Date,Pickup Date,Pick-up day,pick-up_day
VBAK,ABHOV,Pick-up time,time,Pick-Up Tm,Pick-Up Time,Pick-up time,Pick-UP TM,pick-up_tm
VBAK,ABRUF_PART,Partner Authorization Check,Business Partner Check,CheckPart.,Business Partner Check,Partner Authorization Check,Checkpart.,checkpart.
VBAK,ABRVW,Use classification,Applications,Applications,Applications,Applications,Use,use
VBAK,ABSTK,Rejected Status (All Items),Refusal,RejectedStatus,Rejection Status,Rejection Status,Rejected Status,rejected_status
VBAK,AD01BASDOC,Initial document,Initial document,Initial document,Initial document,Initial document,Initial slip,initial_slip
VBAK,AD01FAREG,Billing Rules,R,A&D Billing Rule,A&D Billing Rules,A&D Billing Rules,A & D claim rule,a_&_d_claim_rul
VBAK,AEDAT,Last Modified Date,Date of change,change,Date of change,Date of change,change,change
VBAK,AGRZR,Accrual period - Sales order-related billing documents to be accrued,AP,Accrual Period,Accrual Period,Accrual Period,Overtaking period,overtaking_period
VBAK,AMTBL,Approved credit amount for vouchers,Approved Credit Amount,Credit amount,Credit amount,Approved Credit Amount,Belief amount,belief_amount
VBAK,ANGDT,Quote/Inquiry validity start date,Effective from,Effective Start Date,Effective Start Date,Quote Effective Start Date,Effective start date,effective_start_date
VBAK,APM_APPROVAL_REASON,Approval Request Reason ID,Approval Request Reason ID,AppReqRsn,Approval Request Reason ID,Approval Request Reason ID,APPREQRSN,Appreqrsn
VBAK,APM_APPROVAL_STATUS,Document Approval Status,Approval Status,Approval Status,Approval Status,Approval Status,Approval Status,approval_status
VBAK,APM_REJECTION_REASON,The ID of the reason for rejecting the approval request,The ID of the reason for rejecting the approval request,Reason for refusal,Reason for rejecting approval request,Approval request rejection reason ID,Reason for rejection,reason_for_rejection
VBAK,AUART,Sales Document Type,Sales,Sales slip Ty,Sales Document Type,Sales Document Type,Sales slip TY,sales_slip_ty
VBAK,AUDAT,Document Date (Received/Sent),Document Date,Document Date,Document Date,Document Date,Slip date,slip_date
VBAK,AUFNR,Order Number,Instructions,Instructions,Instructions,Instructions,Instruction,Instructions
VBAK,AUGRU,Reason for order (reason for transaction),reason,Reason for order,Reason for order,Reason for order,Reason for ordering,reason_for_ordering
VBAK,AUTLF,Complete delivery (defined per order),CDl,Lump sum delivery,Lump sum delivery,Lump sum delivery,Collective delivery,collective_delivery
VBAK,AWAHR,Availability,Prb,Availability,possibility,possibility,Possibility of ordering,possibility_of_ordering
VBAK,B2B_MSG_PROCESSING_STATUS,B2B Message Processing Status,B2B Message Processing Status,B2B Status,B2B Processing Status,B2B Message Processing Status,B2B Status,b2b_status
VBAK,BESTK,Shipment Confirmation Status (All Items),CS,Shipping confirmation,Shipment Confirmation Status,Ship Confirmation Status,Shipment confirmation ST,shipment_confirmation_st
