table,original_column,Content,header,column_text,medium_label,long_label,translated_column,column_for_analysis
VBAP,ABDAT,Matching date for agreed cumulative delivery quantity,Matching reference date,Matching reference date,Matching reference date,Matching reference date,Loading...,none
VBAP,ABFOR,Payment guarantee form,payment,Warranty type,Payment guarantee form,Payment guarantee form,Loading...,none
VBAP,ABGES,Guaranteed (coefficient between 0 and 1),G,guarantee,guarantee,guarantee,Loading...,none
VBAP,ABGRS,Results Analysis Key,RA Key,RA Key,Results Analysis Key,Results Analysis Key,Loading...,none
VBAP,ABGRU,Reasons for rejecting sales documents,Refusal,Reason for refusal,Reason for refusal,Reason for refusal,Loading...,none
VBAP,ABLFZ,Rounding amount: Shipment,Rounding amount,Rounding amount,Rounding amount,Rounding amount,Loading...,none
VBAP,ABSFZ,Quantity deviation tolerance (absolute value),DQty,Absolute deviation,Absolute deviation,Absolute deviation,Loading...,none
VBAP,ABSTA,Rejected Status (Item),Rejection Status,RejectedStatus,Rejection Status,Rejection Status,Loading...,none
VBAP,AD01PROFNR,Dynamic Item Processor Profile,Profile,Profile,DIP Profile,DIP Profile,Loading...,none
VBAP,ADACN,Aircraft registration number,Aircraft registration number,Aircraft No.,Aircraft registration number,Aircraft registration number,Loading...,none
VBAP,ADDNS,Non-substitutable,Non-substitutable,DNS,Non-substitutable,Non-substitutable,Loading...,none
VBAP,ADICC,Interchangeability Code,Interchangeability Code,Exchange Code,Interchangeability Code,Interchangeability Code,Loading...,none
VBAP,ADMOI,Model ID Code,Model ID Code,Mod.ID Cd.,Model ID Code,Model ID Code,Loading...,none
VBAP,ADPRI,Order Priority,Order Priority,priority,Order Priority,Order Priority,Loading...,none
VBAP,AEDAT,Last Modified Date,Date of change,change,Date of change,Date of change,Loading...,none
VBAP,ANTLF,Maximum number of partial deliveries for a line item,PD,Maximum number of partial deliveries,Maximum number of installment deliveries,Maximum number of installment deliveries,Loading...,none
VBAP,ANZSN,Serial Number Number,NoSNo.,Serial Number,Serial Number Number,Serial Number Number,Loading...,none
VBAP,APLZL_OAA,Internal Counter,counter,counter,counter,counter,Loading...,none
VBAP,APLZL_OLC,Internal Counter,counter,counter,counter,counter,Loading...,none
VBAP,ARKTX,Sales order item short text,Detail Text,text,Detail Text,Detail Text,Loading...,none
VBAP,ARSNUM,Reservation/dependent requirement number,Scheduled In/Out Number,Reservation number,Scheduled arrival and departure,Scheduled arrival and departure,Loading...,none
VBAP,ARSPOS,Reservation/dependent requirement item number,Reservation Item Number,Item number,Item number,Reservation Item Number,Loading...,none
VBAP,ARUN_GROUP_PRIO,Distribution Run Demand Group Priority,Demand Priority,demand,Demand Priority,Demand Priority,Loading...,none
VBAP,ASSIGNMENT_PRIORITY,Allocation Demand Priority,Demand Priority,demand,Demand Priority,Demand Priority,Loading...,none
VBAP,ATPKZ,Replacement parts,R,Replacement,Replacement parts,Replacement parts,Loading...,none
VBAP,ATP_ABC_SUBSTITUTION_STATUS,Alternative Status for Alternative Criteria Check (ABC),Alternative Status,Alternative Status,Alternative Status,Alternative Status,Loading...,none
VBAP,AUART_ANA,Sales Document Type,Sales,Sales slip Ty,Sales Document Type,Sales Document Type,Loading...,none
VBAP,AUDAT_ANA,Document Date (Received/Sent),Document Date,Document Date,Document Date,Document Date,Loading...,none
VBAP,AUFNR,Order Number,Instructions,Instructions,Instructions,Instructions,Loading...,none
VBAP,AUFPL_OAA,Routing number of the operation in the order,Operation procedure number,Plan Number,Workplan Number,Work Task List Number,Loading...,none
VBAP,AUFPL_OLC,Routing number of the operation in the order,Operation procedure number,Plan Number,Workplan Number,Work Task List Number,Loading...,none
VBAP,AUGRU_ANA,Reason for order (reason for transaction),reason,Reason for order,Reason for order,Reason for order,Loading...,none
VBAP,AWAHR,Orderability of a line,Prb,Availability,Availability,Availability,Loading...,none
VBAP,BEDAE,Requirement Type,RqTy,type,Requirement Type,Requirement Type,Loading...,none
VBAP,BERID,MRP Area,MRP Area,MRP Area,MRP Area,MRP Area,Loading...,none
VBAP,BESTA,Shipment Confirmation Status (Item),CS,Shipping confirmation,Shipment Confirmation Status,Ship Confirmation Status,Loading...,none
VBAP,BONUS,Volume Rebate Group,VRG,Rebate Gp,Trading VolumeRebateGroup,Volume Rebate Group,Loading...,none
VBAP,BRGEW,Total weight of the item,gross weight,gross weight,gross weight,gross weight,Loading...,none
VBAP,BSTKD_ANA,Customer Reference,Customer Reference,Customer Reference,Customer Reference,Customer Reference,Loading...,none
VBAP,BUDGET_PD,Budget Period,Budget Period,BP,Budget Period,Budget Period,Loading...,none
VBAP,BWTAR,Evaluation Type,Evaluation Type,Evaluation Type,Evaluation Type,Evaluation Type,Loading...,none
VBAP,BWTEX,Split Valuation Category,V,Split Valuation,Split Valuation,Split Valuation,Loading...,none
VBAP,BZIRK_ANA,Sales area,region,Sales area,Sales area,Sales area,Loading...,none
VBAP,CAPPED_NET_AMOUNT,Net amount limit,Net amount limit,Net amount limit,Net amount limit,Net amount limit,Loading...,none
VBAP,CAPPED_NET_AMOUNT_ALERT_THLD,Exceeded Net Limit Notification Threshold (Percentage),Upper Notification Threshold,threshold,Upper Notification Threshold,Upper Notification Threshold,Loading...,none
VBAP,CATS_OVERTIME_CATEGORY,Overtime Category,Overtime Category,Overtime,Overtime Category,Overtime Category,Loading...,none
VBAP,CEPOK,Status Estimated Price,CEP,Estimated Price,Estimated Price,Estimated Price,Loading...,none
VBAP,CHARG,Lot number,lot,lot,lot,lot,Loading...,none
VBAP,CHMVS,Lot: Quantity proposal end,QP,Quantity proposal,Quantity proposal,Quantity proposal,Loading...,none
VBAP,CHSPL,Lot split possible,B.S.,Lot Split,Lot Split,Lot split possible,Loading...,none
VBAP,CLINT,Internal Class Number,Inner Classes,Inner Classes,Internal Class Number,Internal Class Number,Loading...,none
VBAP,CMKUA,Credit data exchange rate for requested delivery date,exchange rate,exchange rate,exchange rate,Credit Data Conversion Rate,Loading...,none
VBAP,CMPNT,Item activation indicator for credit management functions,Credit Valid,valid,Credit Valid,Credit function enabled,Loading...,none
VBAP,CMPPI,Financial Document Credit Limit Check Status,DocC,Docu.Cred.,Document. Credit,Documentary Credit,Loading...,none
VBAP,CMPPJ,Export Credit Insurance Credit Limit Check Status,ECI,ExptCredIn,Export Credit Insurance,Export Credit Insurance,Loading...,none
VBAP,CMPRE,Line Credit Price,Credit Price,price,Credit Price,Credit Price,Loading...,none
VBAP,CMPRE_FLT,Line Credit Price,Credit Price,Credit Price,Credit Price,Credit Price,Loading...,none
VBAP,CMTD_DELIV_CREADATE,Delivery registration date to meet confirmed delivery date,Cmtd Delivery Cr. Date,Confirmed delivery CD,Confirmed delivery registration date,Confirmed delivery registration date,Loading...,none
VBAP,CMTD_DELIV_DATE,Supplier confirmed delivery date,Confirmed Delivery Date,C. Delivery Date,Confirmed Delivery Date,Confirmed Delivery Date,Loading...,none
VBAP,CMTD_DELIV_QTY_SU,Confirmed delivery quantity for sales unit,Confirmed Delivery Quantity,C. Delivery quantity,Confirmed Delivery Quantity,Confirmed delivery quantity for sales unit,Loading...,none
VBAP,CMTFG,"Identification for partial approval of purchase order line, credit block",R,Approval,Partial Approval,Partial Approval,Loading...,none
VBAP,COSTA,ALE confirmation status,Cost,ConfStatus,Verification Status,Verification Status,Loading...,none
VBAP,CPD_UPDAT,Time stamp,Time stamp,time,Time stamp,Time stamp,Loading...,none
VBAP,CUOBJ,System setting,Analysis target number,setting,setting,setting,Loading...,none
VBAP,CUOBJ_CH,Internal object number of the batch classification,Object number,Internal Obj No.,Internal Object Number,Internal Object Number,Loading...,none
VBAP,DCSTA,Delay Status (Item),De,Delay Status,Delay Status,Delay Status,Loading...,none
VBAP,DELIVERY_DATE_TYPE_RULE,Delivery Date Rules,Delivery Date Rule,Delivery Date Rule,Delivery Date Rules,Delivery Date Rules,Loading...,none
VBAP,DGSTA,Hazardous materials status (item),Dangerous Goods Status,Dangerous Goods St,Dangerous Goods Status,Dangerous Goods Status,Loading...,none
VBAP,DP_CLEAR_STA_ITM,Advance Status,Advance Payment Status,Advance payment Sts,Advance Payment Status,Advance Payment Status,Loading...,none
VBAP,DUMMY_SLSDOCITEM_INCL_EEW_PS,Dummy function of length 1,,,,,#VALUE!,none
VBAP,EAN11,International Product Code (EAN/UPC),EAN/UPC,EAN/UPC,EAN/UPC,EAN/UPC,Loading...,none
VBAP,EANNR,European Article Number (EAN) - invalid,EAN number,EAN number,EAN number,EAN number,Loading...,none
VBAP,EMCST,Embargo Status (Item),Embargo Status,Emb.Status,Embargo Status,Embargo Status,Loading...,none
VBAP,EQART,Technology Object Type,Target Type,Target Type,Technology Object Type,Technology Object Type,Loading...,none
VBAP,EQUNR,Equipment Number,Facility,Facility,Facility,Facility,Loading...,none
VBAP,ERDAT,The date the record was created,Registration Date,Registration,Registration Date,Registration Date,Loading...,none
VBAP,ERLRE,Completion rules for quotes/contracts,ComRl,Completion Rules,Completion Rules,Completion Rules,Loading...,none
VBAP,ERNAM,Object Registrant Name,Registered person,Registered person,Registered person,Registered person,Loading...,none
VBAP,ERZET,Registration time,time,time,time,time,Loading...,none
VBAP,EXART,Transaction Type,Transaction Type,Transaction Type,Transaction Type,Transaction Type,Loading...,none
VBAP,EXT_REF_ITEM_ID,External Item ID,External Line ID,External Line ID,External Item ID,External Item ID,Loading...,none
VBAP,FABSG,Incoming delivery schedule header indicator,JIT delivery schedule EDI stop/information classification,JDSEDI Ind,JITDSchdEDI Ind,JIT delivery schedule EDI stop/information classification,Loading...,none
VBAP,FAKSP,Blocking Items for Billing,B.B.,Billing Block,Billing Block,Billing Block,Loading...,none
VBAP,FISTL,Budget Center,Budget Center,Budget Center,Budget Center,Budget Center,Loading...,none
VBAP,FIXMG,Fixed delivery date and quantity,Fix,Fixed delivery date,Fixed Date/Quantity,Fixed Date and Quantity,Loading...,none
VBAP,FKBER,Functional Areas,Functional Areas,Functional Areas,Functional Areas,Functional Areas,Loading...,none
VBAP,FKDAT_ANA,Billing Date,Billing Date,Billing Date,Billing Date,Billing Date,Loading...,none
VBAP,FKREL,Billing,Claim,Billing,Billing,Billing,Loading...,none
VBAP,FKSAA,Order-related billing status (item),B.S.,Ord Claim Sts,Order-related billing St,Order Related Invoice Status,Loading...,none
VBAP,FMENG,Fixed quantity,Fix,Fixed quantity,Fixed quantity,Fixed quantity,Loading...,none
VBAP,FMFGUS_KEY,US Federal Government Items,US Federal Government Items,US Government,United States Federal Government,US Federal Government Items,Loading...,none
VBAP,FONDS,fund,fund,fund,fund,fund,Loading...,none
VBAP,FPLNR_ANA,Billing Plan Number,Plan Number,Plan Number,Billing Plan Number,Billing Plan Number,Loading...,none
VBAP,FREEZE_PAOBJNR,Profitability segment dependent on previous document,Profitability segment dependent on previous document,DependentProfSg,Dependent Profitability Segments,Profitability segment dependent on previous document,Loading...,none
VBAP,FSH_CANDATE,Cancellation Date,Cancellation Date,Cancellation Date,Cancellation Date,Cancellation Date,Loading...,none
VBAP,FSH_COLLECTION,Fashion Collection,collection,Collection,collection,collection,Loading...,none
VBAP,FSH_CRSD,Season condition record number,Condition Record Number,Condition Rec No.,Condition Record No.,Condition Record Number,Loading...,none
VBAP,FSH_GRID_COND_REC,Grid Condition Record Number,Grid Condition Record Number,RecNo,Record Number,Grid Record Number,Loading...,none
VBAP,FSH_ITEM,Item number,Item number,Item number,Item number,Item number,Loading...,none
VBAP,FSH_ITEM_GROUP,Detail Group,Details Group,Details Group,Detail Group,Detail Group,Loading...,none
VBAP,FSH_PQR_UEPOS,Partial quantity rejection top line,PQR Top Details,PQR HL Details,PQR Top Details,Partial quantity rejection top line,Loading...,none
VBAP,FSH_PSM_PFM_SPLIT,PSM and PFM Split ID,PFM Division ID,Partition ID,Partition ID,PFM Division ID,Loading...,none
VBAP,FSH_SEAREF,Season determined from the reference document,Copied Season Data,CopySeas,Copied Season,Copied Season Data,Loading...,none
VBAP,FSH_SEASON,Season,Season,Season,Season,Season,Loading...,none
VBAP,FSH_SEASON_YEAR,Season Year,Season Year,Season,Season Year,Season Year,Loading...,none
VBAP,FSH_THEME,Fashion Theme,theme,theme,theme,theme,Loading...,none
VBAP,FSH_TRANSACTION,Transaction Number,Transaction number,Trans. Number,Transaction number,Transaction Number,Loading...,none
VBAP,FSH_VASREF,VAS determined by reference document,Copied VAS data,VAS Copy,Copied VAS Data,Copied VAS data,Loading...,none
VBAP,FSH_VAS_PRNT_ID,Item Number (Sales and Distribution Document),detail,detail,detail,Detail (SD),Loading...,none
VBAP,FSH_VAS_REL,VAS Related,VAS Related,VAS Related,VAS Related,VAS Related,Loading...,none
VBAP,FSSTA,Billing Block Status (Item),B.S.,Claim BlkSt.,Billing Block St.,Billing Block Status,Loading...,none
VBAP,GBSTA,Overall Processing Status (Item),OS,All Status,All Processing Status,Overall Processing Status,Loading...,none
VBAP,GEWEI,Weight Unit,WUn,Weight Unit,Weight Unit,Weight Unit,Loading...,none
VBAP,GLO_LOG_REF1_IT,Country-specific reference for document 1,Country Specific Reference 1,,,Country Specific Reference 1,#VALUE!,none
